Date;Mastercoin;Stablecoin
2004-01;0;0
2004-02;0;0
2004-03;0;0
2004-04;0;0
2004-05;0;0
2004-06;0;0
2004-07;0;0
2004-08;0;0
2004-09;0;0
2004-10;0;0
2004-11;0;0
2004-12;0;0
2005-01;0;0
2005-02;0;0
2005-03;0;0
2005-04;0;0
2005-05;0;0
2005-06;0;0
2005-07;0;0
2005-08;0;0
2005-09;0;0
2005-10;0;0
2005-11;0;0
2005-12;0;0
2006-01;0;0
2006-02;12;0
2006-03;0;0
2006-04;0;0
2006-05;0;0
2006-06;0;0
2006-07;0;0
2006-08;0;0
2006-09;0;0
2006-10;0;0
2006-11;0;0
2006-12;0;0
2007-01;7;0
2007-02;0;0
2007-03;0;0
2007-04;0;0
2007-05;0;0
2007-06;6;0
2007-07;0;0
2007-08;0;0
2007-09;0;0
2007-10;5;0
2007-11;5;0
2007-12;8;0
2008-01;0;0
2008-02;0;0
2008-03;0;0
2008-04;0;0
2008-05;4;0
2008-06;0;0
2008-07;0;0
2008-08;0;0
2008-09;8;0
2008-10;0;0
2008-11;0;0
2008-12;0;0
2009-01;4;0
2009-02;0;0
2009-03;3;0
2009-04;3;0
2009-05;6;0
2009-06;3;0
2009-07;0;0
2009-08;0;0
2009-09;3;0
2009-10;3;0
2009-11;3;0
2009-12;0;0
2010-01;3;0
2010-02;3;0
2010-03;0;0
2010-04;3;0
2010-05;3;0
2010-06;0;0
2010-07;2;0
2010-08;2;0
2010-09;0;0
2010-10;2;0
2010-11;2;0
2010-12;0;0
2011-01;2;0
2011-02;2;0
2011-03;2;0
2011-04;0;0
2011-05;0;0
2011-06;2;0
2011-07;0;0
2011-08;2;0
2011-09;2;0
2011-10;2;0
2011-11;2;0
2011-12;0;0
2012-01;4;0
2012-02;2;0
2012-03;0;0
2012-04;2;0
2012-05;1;0
2012-06;1;0
2012-07;1;0
2012-08;0;0
2012-09;0;0
2012-10;0;0
2012-11;2;0
2012-12;1;0
2013-01;1;0
2013-02;1;0
2013-03;1;0
2013-04;1;0
2013-05;2;0
2013-06;2;7
2013-07;2;6
2013-08;4;3
2013-09;9;1
2013-10;10;2
2013-11;37;12
2013-12;88;100
2014-01;59;27
2014-02;31;11
2014-03;42;8
2014-04;45;5
2014-05;20;2
2014-06;14;0
2014-07;13;2
2014-08;10;2
2014-09;6;1
2014-10;7;3
2014-11;5;2
2014-12;6;1
2015-01;6;1
2015-02;4;1
2015-03;5;2
2015-04;5;2
2015-05;2;2
2015-06;4;1
2015-07;4;1
2015-08;2;1
2015-09;2;1
2015-10;3;2
2015-11;2;3
2015-12;4;1
2016-01;2;1
2016-02;4;1
2016-03;2;1
2016-04;3;1
2016-05;4;1
2016-06;4;2
2016-07;3;2
2016-08;4;0
2016-09;1;1
2016-10;1;1
2016-11;2;1
2016-12;2;1
2017-01;3;0
2017-02;2;1
2017-03;3;1
2017-04;4;1
2017-05;5;2
2017-06;6;2
2017-07;6;2
2017-08;8;5
2017-09;8;2
2017-10;8;4
2017-11;9;4
2017-12;10;11
2018-01;7;10
2018-02;8;13
2018-03;5;9
2018-04;5;11
2018-05;5;14
2018-06;4;12
2018-07;3;21
2018-08;3;16
2018-09;3;47
2018-10;3;57
2018-11;4;46
2018-12;3;60
2019-01;4;42
2019-02;3;47
2019-03;2;47
2019-04;5;48
2019-05;5;62
2019-06;5;92
2019-07;3;58
2019-08;5;45
2019-09;6;45
2019-10;4;60
2019-11;10;55
2019-12;27;42
2020-01;41;43
2020-02;67;46
2020-03;91;53
